ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
113	277,340,313	1,0,2	674,617,628	0,0,2	126	99
114	54,34,44	304,265,310	39,36,49	295,293,303	198	99
115	21,23,17	0,1,1	15,33,43	0,1,0	181	99
116	716,759,714	1,2,0	686,709,714	2,3,2	144	99
117	18,20,17	4,2,2	21,22,31	1,6,4	198	99
119	39,63,43	1,0,0	55,55,56	0,0,0	198	99
121	873,926,896	0,0,0	423,503,460	0,2,1	168	99
122	52,47,45	4,9,1	90,100,78	1,3,2	100	99
123	310,277,288	8,7,4	563,561,635	0,2,3	125	99
124	0,2,1	6,7,7	1,2,2	2,4,3	126	99
125	239,249,265	6,15,21	496,522,591	5,7,9	191	99
127	931,905,957	1,1,0	1984,1926,1834	2,0,1	198	99
128	10,9,2	122,88,107	5,3,4	213,211,208	145	99
129	1,0,1	0,0,0	0,0,0	1,0,0	139	99
130	5,5,7	1,0,0	10,10,15	0,0,0	198	99
131	31,30,35	406,415,383	52,67,37	221,232,184	198	99
133	1637,1638,1756	6,10,4	1654,1619,1644	12,14,18	162	99
134	7,6,9	10,9,8	12,14,19	6,7,7	198	99
136	99,100,102	4722,4693,4869	226,244,182	2336,2516,2353	198	99
137	164,154,183	0,2,1	188,135,178	1,3,4	105	99
138	413,443,422	4,2,7	857,827,826	0,0,1	143	99
139	2573,2494,2592	1,0,1	5094,5153,4981	1,0,0	111	99
140	252,223,235	426,416,432	247,235,257	441,437,416	143	99
141	1,1,0	2,2,2	1,2,2	5,11,6	122	99
142	83,89,78	7,7,8	97,91,89	10,9,3	198	99
143	227,270,259	1,0,0	268,238,258	0,0,0	198	99
144	15,7,6	6,4,5	2,10,15	3,2,6	198	99
146	3,2,0	0,0,0	0,3,1	0,0,1	175	99
147	259,259,241	2,0,0	266,253,238	1,6,1	161	99
148	270,230,267	1,1,0	521,531,515	0,0,1	130	99
149	3,3,3	60,64,66	0,0,2	23,33,28	183	99
150	2,1,3	14,7,13	4,4,6	5,11,2	174	99
151	1342,1305,1302	13,7,4	2697,2824,2802	3,2,1	198	99
152	0,1,0	2,4,3	1,0,0	4,4,2	116	99
153	0,1,0	199,180,176	0,0,0	90,88,92	159	99
154	64,46,39	9,2,2	98,112,93	6,1,0	151	99
155	1,7,5	8,3,8	6,6,4	1,1,4	117	99
156	2181,2205,2154	5,1,3	2138,2154,2266	3,11,6	198	99
157	11,9,7	1,0,0	17,30,17	1,0,0	198	99
158	1803,1886,1791	287,270,283	3631,3713,3700	116,128,156	102	99
159	29,31,25	0,0,1	58,49,53	0,0,0	148	99
160	72,68,71	0,0,1	158,186,135	1,0,1	198	99
161	2,2,0	0,0,0	1,3,1	0,0,1	198	99
162	7,1,5	12417,12679,12299	4,2,5	12479,12773,12375	198	99
163	159,130,154	4535,4619,4612	158,163,149	4506,4444,4535	184	99
164	11,19,17	165,179,200	8,1,6	209,209,178	160	99
165	6768,6903,6680	51,54,44	13452,13546,13632	23,30,36	198	99
166	2,3,4	4,3,2	2,2,1	3,1,0	167	99
167	3,1,2	2,2,2	1,4,3	2,1,3	167	99
168	37,51,41	0,2,1	25,20,14	2,1,1	122	99
169	0,0,1	13,17,16	2,0,0	9,10,12	187	99
170	40,28,28	1,0,0	32,22,31	0,0,0	104	99
171	95,94,121	19,26,22	118,93,104	27,19,14	198	99
172	1,9,1	57,55,51	4,7,8	28,26,20	198	99
173	193,195,171	4,3,8	165,190,157	4,7,2	128	99
174	29,23,32	1,3,0	11,16,6	0,1,5	166	99
176	0,0,0	379,352,360	0,0,1	182,157,178	121	99
177	46,60,40	522,490,537	87,81,97	267,270,266	157	99
178	382,431,381	2,4,6	362,401,372	4,5,1	198	99
179	27,8,16	0,0,3	11,10,8	6,1,1	182	99
180	78,81,90	2,7,2	145,143,158	3,2,7	134	99
