ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
115	3,2,3	0,1,0	7,5,9	0,0,0	187	99
116	42,44,34	2,2,1	40,30,25	1,4,1	270	99
117	2217,2280,2152	0,0,0	2237,2198,2111	0,0,1	1144	99
118	25,29,20	34,39,27	12,16,21	29,35,21	211	99
119	4209,4346,4164	14,19,16	4312,4114,4364	12,17,28	198	99
120	514,454,504	6,6,8	966,959,1011	3,2,0	217	99
121	12,8,16	3,5,3	13,9,8	5,5,3	126	99
122	0,0,0	6,5,5	3,2,2	0,1,4	205	99
123	241,271,238	10,8,7	553,470,481	4,5,6	184	99
125	2241,2233,2369	1,2,0	4701,4624,4677	2,0,1	486	99
126	199,151,167	125,157,167	377,333,364	72,77,79	242	99
127	51,32,36	104,106,90	101,107,86	54,65,59	213	99
129	2,0,0	0,0,0	0,0,0	1,0,0	172	99
130	4,1,13	0,0,0	21,15,17	0,1,0	297	99
131	10,12,18	451,401,366	20,23,28	212,219,222	169	99
133	2358,2229,2384	5,8,4	2363,2324,2248	18,17,15	230	99
134	92,88,59	505,523,499	83,106,84	1026,1054,1035	202	99
135	4,2,7	11,12,5	16,15,14	4,3,4	249	99
137	354,352,336	16,19,13	665,692,730	7,8,7	295	99
138	14,9,14	141,126,153	18,16,32	114,152,136	498	99
139	166,130,124	4890,4774,4829	304,311,259	2337,2429,2383	273	99
140	5,4,0	537,516,510	5,3,0	261,240,285	406	99
141	259,235,292	1,1,2	250,268,278	4,2,5	170	99
142	74,81,53	4,5,5	142,148,179	0,5,2	184	99
143	1122,1123,1210	2,3,2	2460,2393,2349	1,0,1	402	99
144	6591,6745,6735	1,0,2	13553,13267,13038	0,0,1	286	99
146	825,758,835	213,217,217	778,737,758	212,195,212	476	99
147	0,7,2	7,10,14	1,2,3	13,8,7	297	99
148	0,0,2	60,58,69	0,0,0	25,32,30	392	99
149	62,75,53	7,9,10	67,57,70	7,4,3	167	99
150	0,2,0	3,2,1	0,0,3	8,14,8	190	99
151	0,0,0	4,0,2	0,2,0	1,2,3	331	99
152	253,243,261	1,1,1	233,220,221	0,0,0	190	99
153	5,10,17	38,30,32	3,2,7	25,19,29	513	99
154	47,53,45	2,4,7	47,45,47	1,2,6	246	99
155	66,71,54	0,1,0	141,185,174	1,0,0	255	99
156	2,1,1	102,84,111	1,2,2	86,93,94	399	99
157	6,3,19	351,392,307	9,16,6	306,345,342	281	99
158	45,42,31	1,7,2	35,15,36	11,10,8	528	99
159	24,16,11	24,22,13	11,16,27	14,11,15	340	99
160	6,13,5	0,0,1	4,16,27	0,0,0	208	99
161	1,5,3	0,5,0	4,3,11	0,0,39	151	99
162	10,11,12	196,288,283	36,20,32	135,162,153	261	99
163	173,212,184	0,2,2	205,144,187	0,0,0	263	99
164	1210,1197,1173	1,0,0	2303,2485,2393	1,0,0	571	99
165	23,37,19	1,0,2	17,29,27	0,1,0	173	99
166	40,59,57	12,8,12	42,77,94	4,7,3	3396	99
167	16,27,22	5,6,13	2,13,7	11,7,4	217	99
168	1,0,11	29,31,17	4,6,10	17,8,15	754	99
169	1021,1087,1077	8,6,4	2189,2154,2198	2,1,2	156	99
170	35,22,55	308,351,357	39,77,59	170,174,169	889	99
171	3,7,3	172,200,156	3,1,1	196,171,178	171	99
172	79,90,85	0,3,0	69,44,70	0,0,1	305	99
173	4,4,4	10,10,10	5,11,7	5,6,9	270	99
174	62,55,81	163,164,141	48,68,47	360,304,330	264	99
175	8,6,7	2,2,1	2,3,5	3,3,5	155	99
176	122,103,136	1,1,0	142,85,150	0,0,0	2642	99
177	3,4,2	6,3,0	3,1,5	5,3,2	268	99
178	15,15,10	3,0,2	12,23,10	1,2,3	495	99
179	265,277,267	39,34,21	535,536,538	13,16,19	185	99
180	56,50,50	240,252,249	18,21,25	480,254,497	318	99
181	1,2,4	501,447,445	0,0,1	866,861,904	198	99
182	2,4,0	304,332,309	0,0,4	158,161,155	2867	99
183	6,9,2	1,0,1	11,16,16	0,0,0	179	99
184	13,13,17	682,642,641	12,14,8	1301,1298,1286	263	99
185	687,733,663	2,3,0	699,689,721	2,4,1	188	99
186	1315,1390,1237	14,7,13	1277,1314,1360	9,10,15	420	99
187	5,6,0	0,4,0	2,2,5	2,2,2	167	99
188	2,1,5	115,59,87	1,2,1	132,99,88	190	99
189	3,2,1	10,1,6	0,3,4	2,3,1	165	99
190	2,1,5	450,407,398	7,5,2	256,213,221	211	99
191	34,22,28	9,22,17	68,59,59	6,5,14	4170	99
192	128,180,120	46,27,34	279,330,251	8,32,10	307	99
193	2062,2068,2021	0,0,0	2054,2132,2089	0,1,1	991	99
194	2970,2968,2905	59,62,75	2926,2894,2799	57,70,63	157	99
195	230,189,195	98,113,102	103,89,93	102,99,101	130	99
196	668,727,746	110,112,114	682,705,672	97,129,113	315	99
197	82,77,83	256,228,213	164,169,155	115,127,119	186	99
198	2738,2882,2858	4,1,4	5744,5528,5670	3,0,2	209	99
199	48,48,50	25,25,27	37,47,41	22,18,29	267	99
200	3215,2988,3105	2,0,0	3039,3078,3134	0,3,2	562	99
201	724,745,780	113,120,106	413,411,436	116,97,101	357	99
202	68,50,40	133,173,166	24,14,32	105,111,144	559	99
204	1246,1224,1292	0,1,1	2574,2440,2433	0,1,0	212	99
205	5,1,2	4,9,10	2,6,9	6,4,4	193	99
206	34,37,35	60,68,58	29,34,26	60,77,61	193	99
207	64,76,71	41,23,33	79,88,75	39,30,40	155	99
208	1105,1011,1006	280,252,246	1123,978,1015	273,266,248	2578	99
210	742,757,722	13,9,6	717,758,720	13,14,9	329	99
211	26,30,25	2,6,5	61,58,59	1,2,3	228	99
212	177,181,157	205,221,187	183,196,172	173,218,198	156	99
213	0,1,0	1,1,4	1,1,4	2,1,2	237	99
214	11,12,18	0,0,1	15,15,11	0,1,0	293	99
215	64,42,47	0,0,0	121,79,83	1,0,0	259	99
216	30,14,12	88,129,88	8,14,28	176,150,185	184	99
217	2973,2977,2833	1,1,1	2943,2944,2902	2,0,0	569	99
218	1055,1085,1258	2,0,1	2374,2429,2192	0,0,0	3035	99
219	714,708,692	21,17,13	1484,1548,1467	6,6,12	191	99
220	4,1,6	18,21,25	7,2,0	13,9,5	193	99
222	54,67,61	37,45,37	75,79,78	29,48,39	239	99
223	3,3,3	11,8,15	1,0,3	5,18,14	206	99
224	1,1,0	13,5,2	1,0,1	6,11,2	197	99
225	663,685,758	9,2,3	324,418,369	9,10,3	318	99
226	232,253,236	14,11,12	134,98,129	32,30,34	186	99
227	93,96,104	28,22,23	77,77,86	25,20,23	250	99
228	1,2,3	36,35,29	2,1,3	51,38,32	196	99
229	0,1,3	0,2,0	0,5,1	3,1,1	284	99
230	2,1,6	1674,1647,1684	2,0,4	1639,1548,1640	270	99
231	186,186,177	4470,4560,4503	156,163,168	4653,4562,4744	219	99
233	389,393,356	1143,1093,1101	360,422,394	1067,1179,1183	407	99
234	124,116,100	2,1,3	286,253,233	0,1,0	470	99
235	6278,6305,6247	73,84,87	12481,12377,12563	48,53,50	183	99
236	8939,8857,9226	3,1,2	8999,8965,9060	2,3,0	231	99
237	9614,9391,9418	26288,26081,26194	9596,9496,9358	26014,26256,26034	470	99
238	2,9,6	7,1,8	14,7,6	1,1,11	205	99
239	5,2,8	2,7,2	7,6,6	0,1,3	545	99
240	196,232,171	832,798,823	144,218,168	950,819,863	230	99
241	16386,16205,15883	1,3,1	15996,16161,16433	4,2,4	4092	99
242	4,18,22	13,34,34	36,28,11	23,26,31	310	99
243	29,28,34	1,2,1	31,37,28	2,2,0	261	99
244	0,6,8	39,38,50	9,5,6	19,25,22	219	99
245	0,1,0	62,83,83	1,1,2	47,38,34	225	99
246	153,138,153	272,238,276	325,308,337	138,145,120	170	99
247	21,36,32	10,5,3	30,16,26	7,6,17	252	99
248	116,117,157	5,7,7	143,126,118	5,7,13	184	99
249	254,261,256	0,0,0	256,205,249	1,1,0	254	99
250	0,0,0	14,20,11	0,1,0	13,17,12	259	99
251	2790,2735,2751	0,3,1	2794,2540,2432	2,1,3	243	99
252	1,1,1	4,2,11	2,1,9	0,8,11	156	99
253	150,153,183	29,28,28	302,334,347	14,13,13	948	99
