transcript_id	value_1	value_2	value_3	log2FC	p_value	DEI	sample_pair	Gene_Id
ENST00000376215	0.114794449	0.122683969	0.11745912	0.288369342	0.002157845	non-DEI	F7/D6	F7-PDSS1
ENST00000254998	0.114134952	0.111197173	0.108315821	-0.052292224	0.112789435	non-DEI	F7/D6	F7-NXT1
ENST00000237853	0.848207602	0.851220516	0.807927074	-0.307536633	0.000621386	non-DEI	F7/D6	F7-ELL2
ENST00000292174	0.085939376	0.082582474	0.082516883	0.032582265	0.382211654	non-DEI	F7/D6	F7-CXCR5
ENST00000257575	0.041557344	0.039685903	0.042412905	1.149239108	3.97859E-05	up-regulate	F7/D6	F7-RNFT2
ENST00000246070	0.153727648	0.155679652	0.148918998	1.332065987	1.44451E-06	up-regulate	F7/D6	F7-LAMP5
ENST00000227507	0.053109081	0.052989151	0.053593437	-0.155337954	0.003655171	non-DEI	F7/D6	F7-CCND1
ENST00000229238	0.431703484	0.393498075	0.381486277	-0.299835472	0.038318379	non-DEI	F7/D6	F7-MRPL51
ENST00000355897	0.272495407	0.268324161	0.271202632	-0.387175776	4.15142E-05	non-DEI	F7/D6	F7-GPR160
ENST00000378024	0.095276798	0.095873075	0.081082267	-0.061621625	0.549932578	non-DEI	F7/D6	F7-AHNAK
ENST00000336735	0.65280139	0.617945508	0.676279644	-0.261634729	0.114598005	non-DEI	F7/D6	F7-SEL1L
ENST00000321870	0.001907217	0.002019572	0.002014154	-0.914027677	9.97784E-05	non-DEI	F7/D6	F7-BHLHE22
ENST00000339992	0.046564202	0.044038504	0.04608046	0.347553364	0.000443931	non-DEI	F7/D6	F7-HMX2
ENST00000216115	0.035783029	0.032322427	0.033768327	-1.080056556	6.93776E-06	down-regulate	F7/D6	F7-BIK
ENST00000361624	208.4186442	182.1928037	196.0368008	0.37204135	0.005090629	non-DEI	F7/D6	F7-MT-CO1
ENST00000368468	0.748082983	0.750635043	0.761147972	-0.159069089	0.001968372	non-DEI	F7/D6	F7-MAN1A1
ENST00000552695	0.169709723	0.162191551	0.166253991	0.444007073	0.000152521	non-DEI	F7/D6	F7-FICD
ENST00000349499	0.628594739	0.619213109	0.652495941	0.907332384	1.03127E-05	non-DEI	F7/D6	F7-CLIC6
ENST00000357878	0.169299401	0.213305947	0.206134617	0.524992613	0.014210305	non-DEI	F7/D6	F7-HMX3
ENST00000261837	0.020711313	0.022009444	0.022979419	0.751918665	0.000393112	non-DEI	F7/D6	F7-GNB5
