transcript_id	value_1	value_2	value_3	log2FC	p_value	DEI	sample_pair	Gene_Id
ENST00000314133	1.064699625	0.881897948	1.042862377	0.066752742	0.556299873	non-DEI	M8/D6	M8-COX8A
ENST00000241261	0.204262745	0.193531207	0.196714185	-0.307077485	0.001435795	non-DEI	M8/D6	M8-TNFSF10
ENST00000407280	5.024923255	4.749199888	4.678745976	0.244775184	0.015118846	non-DEI	M8/D6	M8-IFI30
ENST00000367029	0.613958544	0.597203386	0.670285555	-1.004002055	0.000126933	down-regulate	M8/D6	M8-G0S2
ENST00000291232	1.564662105		1.506345813	-0.078430302	0.133020326	non-DEI	M8/D6	M8-TNFRSF13C
ENST00000266557	0.374762687	0.448728285	0.41796751	-0.977644963	0.000257097	non-DEI	M8/D6	M8-CD27
ENST00000248958	0.06271645	0.063676088	0.063215004	-1.083160029	0.000708458	down-regulate	M8/D6	M8-SDF2L1
ENST00000341184	0.149553518	0.182039098	0.14438765	0.811304446	0.028398451	non-DEI	M8/D6	M8-MGAT3
ENST00000257527	0.018805565	0.018569156	0.016430077	-0.830004876	0.000116506	non-DEI	M8/D6	M8-ADAM19
ENST00000569669	0.085231963	0.08501229	0.08176421	-0.423885515	0.002372021	non-DEI	M8/D6	M8-BOP1
ENST00000005257	0.045615491	0.051884904	0.049496269	-0.188117398	0.226469473	non-DEI	M8/D6	M8-RALA
ENST00000367511	0.303065267	0.335155184	0.28393824	-0.841059561	0.000506305	non-DEI	M8/D6	M8-NIBAN1
ENST00000552695	0.045418112	0.045986492	0.037818705	-1.023012987	0.013827256	down-regulate	M8/D6	M8-FICD
ENST00000261837	0.016376036	0.016163457	0.017744263	-0.496257764	0.007272208	non-DEI	M8/D6	M8-GNB5
ENST00000275072	0.050426261	0.051675562		-0.315061531	0.145389435	non-DEI	M8/D6	M8-PM20D2
ENST00000302754	0.806287011	0.767678497	0.74045427	-0.347197347	0.006986945	non-DEI	M8/D6	M8-JUNB
ENST00000243347	0.000428949	0.000526666	0.000444752	0.087416885	0.443357067	non-DEI	M8/D6	M8-TNFAIP6
ENST00000313401	0.156453807		0.132935342	-0.732924583	0.007316789	non-DEI	M8/D6	M8-CDK5R1
ENST00000597705	0.036204018	0.03339252	0.033427282	1.568574427	0.001428011	up-regulate	M8/D6	M8-C19orf48P
ENST00000380861	0.014125861	0.014752612	0.014108149	-2.619411791	0.000591439	down-regulate	M8/D6	M8-WWC3
ENST00000372733	0.048882441	0.047217537	0.048770765	0.41648312	2.53668E-05	non-DEI	M8/D6	M8-SDC4
ENST00000390556	0.499676197	0.482757116	0.525395585	-0.712701182	0.013109054	non-DEI	M8/D6	M8-IGHD
ENST00000417314	0.026123626	0.025383304	0.026405999	-0.601901458	0.000889221	non-DEI	M8/D6	M8-KBTBD8
ENST00000310597	0.034864572	0.036941602	0.028876004	-0.50255302	0.015457556	non-DEI	M8/D6	M8-ZNHIT2
ENST00000336735	0.207948025	0.209673964	0.218679013	-1.391577703	1.33525E-05	down-regulate	M8/D6	M8-SEL1L
ENST00000557434	0.013040572	0.010593194	0.010987626	-1.426270984	0.000262382	down-regulate	M8/D6	M8-LGMN
ENST00000332503	0.241688303	0.264239125	0.219375718	1.020610832	0.000798216	up-regulate	M8/D6	M8-HOBX4
ENST00000247225		0.335039112	0.418532633	0.255462247	0.156528351	non-DEI	M8/D6	M8-SGPP1
ENST00000381938	0.192926527	0.170261668	0.175186008	0.005454035	0.937559	non-DEI	M8/D6	M8-TMEM156
ENST00000261867	0.004170016	0.004746928	0.003934997	-1.600602775	1.20753E-05	down-regulate	M8/D6	M8-SLC30A4
ENST00000379607	0.088565562	0.104792223	0.080156377	-0.15114205	0.250506622	non-DEI	M8/D6	M8-EIF2AX
ENST00000382247	0.0660122	0.065807949	0.056029223	0.057817995	0.685741724	non-DEI	M8/D6	M8-DCAF16
ENST00000392456	0.687890508	0.779468192	0.613100368	-0.839756094	0.000943973	non-DEI	M8/D6	M8-CCDC50
ENST00000223273	0.033541185	0.038679285		-0.758615846	0.009631183	non-DEI	M8/D6	M8-YAE1
ENST00000294507	17.25881507	18.24075563	18.43279131	0.766098318	6.64564E-05	non-DEI	M8/D6	M8-LAPTM5
ENST00000269397	0.126780169	0.127060559	0.101663102	-0.032199606	0.863126876	non-DEI	M8/D6	M8-CBX4
ENST00000447079	0.094517137	0.099341148	0.093678781	0.251536453	0.005729497	non-DEI	M8/D6	M8-CDK12
ENST00000220507	0.10361298	0.097805216	0.096121575	0.300049511	0.001798254	non-DEI	M8/D6	M8-RHOV
ENST00000291906	0.065346199	0.065742295	0.066732438	0.809855981	2.97217E-06	non-DEI	M8/D6	M8-PKN3
ENST00000260197	0.951052604	1.018437644	0.902617217	0.44482682	0.001798538	non-DEI	M8/D6	M8-SDRL1
ENST00000238508	0.337277232	0.340081081	0.371439569	1.108763234	0.000123962	up-regulate	M8/D6	M8-SERPINB10
ENST00000349499	0.17204881	0.172694644	0.167913798	0.121646688	0.121929287	non-DEI	M8/D6	M8-CLIC6
ENST00000327355	0.072237839	0.07217741	0.075532184	0.349451724	0.002950431	non-DEI	M8/D6	M8-FAM174B
ENST00000302277	0.000826329	0.000916516	0.000975739	-2.634462607	1.20013E-05	down-regulate	M8/D6	M8-ZNF804A
ENST00000250916	0.069992558	0.065481024	0.078386957	0.077549297	0.665121947	non-DEI	M8/D6	M8-KLF16
ENST00000318528	0.014142661	0.014159779	0.013655987	-1.077246927	6.78651E-05	down-regulate	M8/D6	M8-ERICH5
ENST00000227451	0.17033957	0.169380221	0.152253755	-0.320706045	0.005357276	non-DEI	M8/D6	M8-DTX4
ENST00000355085	0.02170043	0.01984812	0.01988639	0.614782296	0.00111194	non-DEI	M8/D6	M8-C5AR1
ENST00000264538	0.006940605	0.006561509	0.00660273	-2.96660948	0.000200324	down-regulate	M8/D6	M8-IFT57
ENST00000274026	0.076207739	0.074875289	0.079709364	1.297395652	9.15347E-06	up-regulate	M8/D6	M8-CCNA2
ENST00000361453	31.53291129	32.36762246	29.8449912	-0.128384116	0.069492189	non-DEI	M8/D6	M8-MT-ND2
ENST00000312184	0.026408268	0.025952469	0.027844425	-0.015949956	0.649882772	non-DEI	M8/D6	M8-TMEM70
ENST00000284311	1.070340738	1.116773095	1.089631512	-0.280690548	0.001896101	non-DEI	M8/D6	M8-GPR15
ENST00000381401	1.231267471	1.17141666	1.32228596	0.074270795	0.383244158	non-DEI	M8/D6	M8-SLC25A6
ENST00000370141	0.092754249	0.085079077	0.093816356	-0.654735378	0.000167006	non-DEI	M8/D6	M8-TRMT13
ENST00000357164	1.080227929	1.01627351	1.085255221	0.41953221	0.000523374	non-DEI	M8/D6	M8-GM2A
ENST00000228438	0.002299534	0.002860074	0.002449291	-2.153821356	0.000481607	down-regulate	M8/D6	M8-CLEC2B
ENST00000369448	0.025140169	0.021661705	0.022221566	-1.62528301	2.5355E-06	down-regulate	M8/D6	M8-TENT5C
ENST00000393067	2.110009548	2.00217467	1.904327005	-0.457437776	0.000459562	non-DEI	M8/D6	M8-POU2AF1
ENST00000379638	0.159892805	0.176091149	0.168001953	-0.266981056	0.00253041	non-DEI	M8/D6	M8-REEP5
ENST00000299977	0.021719517	0.023093629	0.023470157	-3.824379168	0.000577115	down-regulate	M8/D6	M8-SLFN5
ENST00000319332	0.053862934	0.055967997	0.061769478	0.407160352	0.006098002	non-DEI	M8/D6	M8-P3H2
ENST00000291750	0.10441413	0.098755545	0.101627759	-0.10503881	0.020747859	non-DEI	M8/D6	M8-ZNF626
ENST00000266646	0.000114217	0.00010515	0.000110638	-0.972987111	7.95982E-05	non-DEI	M8/D6	M8-INHBE
ENST00000372715	0.07360505	0.077791473	0.073548534	0.306017656	0.000585168	non-DEI	M8/D6	M8-DYNC2I2
ENST00000264233	0.0180763	0.019482224	0.01885902	0.775886341	9.72237E-05	non-DEI	M8/D6	M8-POLQ
ENST00000374279	0.434024638	0.450001427	0.481470864	-0.188868155	0.035112967	non-DEI	M8/D6	M8-UGCG
ENST00000296658	0.004677324	0.004818039	0.004916795	0.179096778	0.001956994	non-DEI	M8/D6	M8-CMBL
ENST00000304661	0.050410596	0.053004846	0.049772793	-0.185011633	0.072309638	non-DEI	M8/D6	M8-C1GALT1C1
ENST00000262352	0.116531992	0.109145109	0.109793917	-0.204171283	0.003341781	non-DEI	M8/D6	M8-SLC1A1
ENST00000355653	0.094418471	0.086065244	0.086732203	-0.106698666	0.083450589	non-DEI	M8/D6	M8-VAT1
ENST00000539680	0.011821298	0.012367591	0.012446621	-1.159256545	3.89995E-05	down-regulate	M8/D6	M8-ECHDC2
ENST00000647941	0.178127778	0.179492747	0.183363239	-0.179801929	0.002214908	non-DEI	M8/D6	M8-CPOX
ENST00000199448	0.025289747	0.025252662	0.024623724	1.404752249	0.000148379	up-regulate	M8/D6	M8-EPDR1
ENST00000269385	0.044908321	0.045533306	0.045705316	0.411613707	0.000192888	non-DEI	M8/D6	M8-CBX8
ENST00000246115	0.043664337	0.043519164	0.042990201	-0.35357084	0.000372811	non-DEI	M8/D6	M8-S1PR4
ENST00000376215	0.080816962	0.079046231	0.080699517	-0.272782795	0.001268615	non-DEI	M8/D6	M8-PDSS1
ENST00000254998	0.110725244	0.112026451	0.107205581	-0.068339614	0.043631743	non-DEI	M8/D6	M8-NXT1
ENST00000237853	0.5301872	0.543282986	0.571292223	-0.915823818	1.43671E-05	non-DEI	M8/D6	M8-ELL2
ENST00000292174	0.033003962	0.032346623	0.032628465	-1.324782501	0.017330717	down-regulate	M8/D6	M8-CXCR5
ENST00000257575	0.023673092	0.024680042	0.023703344	0.370105139	0.00363624	non-DEI	M8/D6	M8-RNFT2
ENST00000246070	0.134711282	0.138661679	0.136528273	1.170967251	3.71144E-07	up-regulate	M8/D6	M8-LAMP5
ENST00000227507	0.08086046	0.079270083	0.074067656	0.397102974	0.001166087	non-DEI	M8/D6	M8-CCND1
ENST00000229238	0.516702312	0.388319712	0.380797952	-0.208199308	0.265658882	non-DEI	M8/D6	M8-MRPL51
ENST00000355897	0.103655728	0.100580487	0.106082456	-1.774944446	5.7401E-07	down-regulate	M8/D6	M8-GPR160
ENST00000378024	0.178922231	0.180791194	0.141095478	0.81780118	0.005796326	non-DEI	M8/D6	M8-AHNAK
ENST00000327535	0.017629405	0.018866128	0.018072525	-0.814196447	0.000218642	non-DEI	M8/D6	M8-IFNLR1
ENST00000312960	0.151882023	0.148721853	0.158393723	-0.206738723	0.029847585	non-DEI	M8/D6	M8-SIAH2
ENST00000368468	0.375088844	0.32229701	0.328292788	-0.539084123	0.001374625	non-DEI	M8/D6	M8-MAN1A1
ENST00000361314	0.012887655	0.012471229	0.011371504	-1.60422333	2.17121E-06	down-regulate	M8/D6	M8-GPX7
ENST00000339992	0.026698623	0.028323602	0.026214894	-0.403071212	0.000413215	non-DEI	M8/D6	M8-HMX2
ENST00000216115	0.145577001	0.178184542	0.169491329	1.195488077	0.010565332	up-regulate	M8/D6	M8-BIK
ENST00000361624	164.0873529	175.5585731	161.5896716	0.145034498	0.032649148	non-DEI	M8/D6	M8-MT-CO1
ENST00000552695	0.089134684	0.083546881	0.082051607	-0.523601551	0.000291446	non-DEI	M8/D6	M8-FICD
ENST00000349499	0.421764882	0.438710254	0.402621518	0.318067353	0.001750124	non-DEI	M8/D6	M8-CLIC6
ENST00000357878	0.028351738	0.028104014	0.02824388	-2.27221034	0.001855899	down-regulate	M8/D6	M8-HMX3
ENST00000276914	0.284451858	0.315190767	0.280060189	-0.070205546	0.271750754	non-DEI	M8/D6	M8-PLIN2
ENST00000313683	0.004845719	0.005371509	0.004779751	-1.380997998	0.000524233	down-regulate	M8/D6	M8-PNMA8A
ENST00000299572		0.016998121	0.023514571	-0.015837857	0.945331914	non-DEI	M8/D6	M8-CENPN
ENST00000334512	0.022317518	0.023623662	0.02457127	-0.209751281	0.007468929	non-DEI	M8/D6	M8-ZMIZ1
ENST00000376759	0.060208768	0.06478654	0.057730939	0.056260678	0.432308326	non-DEI	M8/D6	M8-RBM3
ENST00000264433	0.0983424	0.088706651	0.092334832	-0.51774317	0.00272033	non-DEI	M8/D6	M8-FNIP2
ENST00000254799	0.022198956	0.024425521	0.023442619	-0.319936289	0.002601203	non-DEI	M8/D6	M8-GRSF1
ENST00000588361	0.029977094	0.027338997	0.026595402	0.498713097	0.015210782	non-DEI	M8/D6	M8-KDM4B
ENST00000322128	0.063658075	0.057540976	0.059493227	-0.070275033	0.322238132	non-DEI	M8/D6	M8-TSPYL5
ENST00000377507	0.066900099	0.071708596	0.071887239	-0.275189779	0.002306273	non-DEI	F7/D6	F7-TNFRSF9
ENST00000005260	0.112582934	0.118267531	0.121192621	1.108977885	1.68413E-05	up-regulate	F7/D6	F7-BAIAP2L1
ENST00000335661	0.277233911	0.309213036	0.30793735	0.029120422	0.623940421	non-DEI	F7/D6	F7-BCL2A1
ENST00000256447	0.118824222	0.110159299	0.112172876	-1.101626152	4.80589E-06	down-regulate	F7/D6	F7-CD180
ENST00000329759	0.081553043	0.076986373	0.060792423	-0.060439209	0.669459022	non-DEI	F7/D6	F7-FAM43A
ENST00000255695	0.003699048	0.003656213	0.00390904	-0.448571287	0.000154421	non-DEI	F7/D6	F7-PLAAT2
ENST00000313104	0.395148063	0.482324583	0.470198132	0.953528868	0.015294996	non-DEI	F7/D6	F7-RPLPO
ENST00000455959	0.025776265		0.022647323	-0.387425545	0.023872529	non-DEI	F7/D6	F7-SEC11A
ENST00000367495	0.011741115	0.012144284	0.010808023	-0.556039301	0.001798121	non-DEI	F7/D6	F7-RAB32
ENST00000379287	0.15023602		0.143333219	-0.310006289	0.020779456	non-DEI	F7/D6	F7-GFOD1
ENST00000370078	0.095848995	0.082558239		0.083228269	0.440120894	non-DEI	F7/D6	F7-PRM76
ENST00000427159	0.114556574		0.116115073	-0.450080618	0.075968227	non-DEI	F7/D6	F7-FTSJ3
ENST00000380752	0.197697621	0.214387636	0.215295414	0.07438021	0.448687853	non-DEI	F7/D6	F7-SLC7A1
ENST00000311177	0.010166754	0.009598253	0.011438148	-1.688146398	0.001484281	down-regulate	F7/D6	F7-HOXB9
ENST00000381077	0.120744499	0.108679589	0.129469311	-0.780470117	0.012090154	non-DEI	F7/D6	F7-PUDP
ENSG00000021355	0.0944578	0.089981373	0.089336541	-1.376287524	0.01898027	down-regulate	F7/D6	F7-SERPINB1
ENST00000314133	1.103798657	1.078760798	1.138124875	0.218348443	0.023679313	non-DEI	F7/D6	F7-COX8A
ENST00000241261	0.188402542	0.189846245	0.196663738	-0.35543158	0.000711861	non-DEI	F7/D6	F7-TNFSF10
ENST00000407280	4.019216073	3.991067485	3.928836199	-0.030884261	0.604550497	non-DEI	F7/D6	F7-IFI30
ENST00000367029	1.089994597	1.06227005	1.051997708	-0.235852801	0.008035837	non-DEI	F7/D6	F7-G0S2
ENST00000291232	1.406116748	1.411079693	1.390227334	-0.209167899	0.001535494	non-DEI	F7/D6	F7-TNFRSF13C
ENST00000266557	0.613156299	0.656456249	0.587919389	-0.396293963	0.003570948	non-DEI	F7/D6	F7-CD27
ENST00000248958	0.092874012	0.098613857	0.085358375	-0.537091442	0.000672245	non-DEI	F7/D6	F7-SDF2L1
ENST00000257527	0.025340184	0.024650531	0.025930142	-0.333243433	0.00057092	non-DEI	F7/D6	F7-ADAM19
ENST00000569669	0.103102606	0.094631669	0.095475522	-0.20542439	0.036796775	non-DEI	F7/D6	F7-BOP1
ENST00000005257	0.047534279	0.056228319	0.05480008	-0.078847586	0.596639412	non-DEI	F7/D6	F7-RALA
ENST00000361314	0.023484434	0.023338776	0.023485801	-0.201700411	0.006350388	non-DEI	F7/D6	F7-GPX7
ENST00000327535	0.032368825	0.032881796	0.033951685	0.048120549	0.388335498	non-DEI	F7/D6	F7-IFNLR1
ENST00000367511	0.636861882	0.624911562	0.540044704	0.125306907	0.232961317	non-DEI	F7/D6	F7-NIBAN1
ENST00000275072	0.037633563	0.042123997	0.033311828	-0.752824273	0.009579114	non-DEI	F7/D6	F7-PM20D2
ENST00000302754	0.746979062	0.6347109	0.68315505	-0.511814408	0.003883869	non-DEI	F7/D6	F7-JUNB
ENST00000243347	0.000222953		0.000192047	-1.082243815	0.001097955	down-regulate	F7/D6	F7-TNFAIP6
ENST00000313401	0.16635425	0.149337565	0.144526877	-0.648578333	0.001512488	non-DEI	F7/D6	F7-CDK5R1
ENST00000597705	0.012533825	0.012911361	0.012173701	0.115125549	0.017278447	non-DEI	F7/D6	F7-C19orf48P
ENST00000380861	0.069123722	0.069747953	0.068384998	-0.349952931	0.000635455	non-DEI	F7/D6	F7-WWC3
ENST00000372733	0.033792666	0.030685634	0.031873126	-0.171905216	0.04398689	non-DEI	F7/D6	F7-SDC4
ENST00000390556	0.894116861	0.966668861	0.853510354	0.13540419	0.37610622	non-DEI	F7/D6	F7-IGHD
ENST00000417314	0.03316133	0.03411691	0.034056297	-0.222710131	0.020456432	non-DEI	F7/D6	F7-KBTBD8
